PDF Name,Text from 2nd last <td>,Download Link
"Monday, 16th May, 2022","Monday, 16th May, 2022",https://na.gov.pk/uploads/documents/6294692e5aede_709.pdf
"Friday, 13th May, 2022","Friday, 13th May, 2022",https://na.gov.pk/uploads/documents/63ecbf4d8960c_498.pdf
"Thursday, 12th May, 2022","Thursday, 12th May, 2022",https://na.gov.pk/uploads/documents/63ecbf8740ecb_446.pdf
"Wednesday, 11th May, 2022","Wednesday, 11th May, 2022",https://na.gov.pk/uploads/documents/634fc00ed28d6_740.pdf
"Tuesday, 10th May, 2022","Tuesday, 10th May, 2022",https://na.gov.pk/uploads/documents/634fbfd1ebc70_516.pdf
"Monday, 9th May, 2022","Monday, 9th May, 2022",https://na.gov.pk/uploads/documents/634fbf96e55d0_582.pdf
"Wednesday, 29th June, 2022","Wednesday, 29th June, 2022",https://na.gov.pk/uploads/documents/634fc71b0df77_178.pdf
"Tuesday, 28th June, 2022","Tuesday, 28th June, 2022",https://na.gov.pk/uploads/documents/634fc6ee97bf9_828.pdf
"Monday, 27th June, 2022","Monday, 27th June, 2022",https://na.gov.pk/uploads/documents/63ecc8fa2eb43_896.pdf
"Friday, 24th June, 2022","Friday, 24th June, 2022",https://na.gov.pk/uploads/documents/634fc699b34c2_507.pdf
"Thursday, 23rd June, 2022","Thursday, 23rd June, 2022",https://na.gov.pk/uploads/documents/634fc66ad174a_960.pdf
"Wednesday, 22nd June, 2022","Wednesday, 22nd June, 2022",https://na.gov.pk/uploads/documents/63ecc93856b6d_828.pdf
"Tuesday, 21st June, 2022","Tuesday, 21st June, 2022",https://na.gov.pk/uploads/documents/634fc6197db47_868.pdf
"Monday, 20th June, 2022","Monday, 20th June, 2022",https://na.gov.pk/uploads/documents/634fc5eecb394_221.pdf
"Friday, 17th June, 2022","Friday, 17th June, 2022",https://na.gov.pk/uploads/documents/634fc5c692a55_388.pdf
"Thursday, 16th June, 2022","Thursday, 16th June, 2022",https://na.gov.pk/uploads/documents/634fc58ea6a95_754.pdf
"Wednesday, 15th June, 2022","Wednesday, 15th June, 2022",https://na.gov.pk/uploads/documents/634fc559b70be_734.pdf
"Tuesday, 14th June, 2022","Tuesday, 14th June, 2022",https://na.gov.pk/uploads/documents/634fc52ad6843_881.pdf
"Monday, 13th June, 2022","Monday, 13th June, 2022",https://na.gov.pk/uploads/documents/634fc502d4b11_204.pdf
"Friday, 10th June, 2022","Friday, 10th June, 2022",https://na.gov.pk/uploads/documents/634fc4c682ad8_874.pdf
"Thursday, 9th June, 2022","Thursday, 9th June, 2022",https://na.gov.pk/uploads/documents/634fc4a3d7fe4_540.pdf
"Wednesday, 8th June, 2022","Wednesday, 8th June, 2022",https://na.gov.pk/uploads/documents/63ecc9de3be6f_327.pdf
"Monday, 6th June, 2022","Monday, 6th June, 2022",https://na.gov.pk/uploads/documents/634fc40aaf4d1_614.pdf
"Monday, 15th August, 2022","Monday, 15th August, 2022",https://na.gov.pk/uploads/documents/63ecb0f34c7f3_662.pdf
"Sunday, 14th August, 2022","Sunday, 14th August, 2022",https://na.gov.pk/uploads/documents/634fc926a5b3b_898.pdf
"Saturday, 13th August, 2022","Saturday, 13th August, 2022",https://na.gov.pk/uploads/documents/634fc904ebdb0_259.pdf
"Wednesday, 10th August, 2022","Wednesday, 10th August, 2022",https://na.gov.pk/uploads/documents/634fc8e58fa35_722.pdf
"Wednesday, 3rd August, 2022","Wednesday, 3rd August, 2022",https://na.gov.pk/uploads/documents/634fc8c50f2a6_840.pdf
"Tuesday, 2nd August, 2022","Tuesday, 2nd August, 2022",https://na.gov.pk/uploads/documents/634fc89551ecc_754.pdf
"Monday, 1st August, 2022","Monday, 1st August, 2022",https://na.gov.pk/uploads/documents/634fc86dbb2e5_505.pdf
"Friday, 29th July, 2022","Friday, 29th July, 2022",https://na.gov.pk/uploads/documents/634fc9af718a5_956.pdf
"Thursday, 28th July, 2022","Thursday, 28th July, 2022",https://na.gov.pk/uploads/documents/63ecb002ba76d_227.pdf
"Wednesday, 27th July, 2022","Wednesday, 27th July, 2022",https://na.gov.pk/uploads/documents/63ecaf7b60671_312.pdf
"Thursday, 20th August, 2020","Thursday, 20th August, 2020",https://na.gov.pk/uploads/documents/1598521276_316.pdf
"Monday, 24th August, 2020","Monday, 24th August, 2020",https://na.gov.pk/uploads/documents/1611134167_830.pdf
